therapeutic_area_name,transition_year,outcome,count,cumulative_count
musculoskeletal or connective tissue disease,1990,positive,10,10
musculoskeletal or connective tissue disease,1991,positive,0,10
musculoskeletal or connective tissue disease,1992,positive,3,13
musculoskeletal or connective tissue disease,1993,positive,17,30
musculoskeletal or connective tissue disease,1994,positive,25,55
musculoskeletal or connective tissue disease,1995,positive,25,80
musculoskeletal or connective tissue disease,1996,positive,3,83
musculoskeletal or connective tissue disease,1997,positive,22,105
musculoskeletal or connective tissue disease,1998,positive,7,112
musculoskeletal or connective tissue disease,1999,positive,22,134
musculoskeletal or connective tissue disease,2000,positive,27,161
musculoskeletal or connective tissue disease,2001,positive,22,183
musculoskeletal or connective tissue disease,2002,positive,16,199
musculoskeletal or connective tissue disease,2003,positive,26,225
musculoskeletal or connective tissue disease,2004,positive,26,251
musculoskeletal or connective tissue disease,2005,positive,128,379
musculoskeletal or connective tissue disease,2006,positive,27,406
musculoskeletal or connective tissue disease,2007,positive,67,473
musculoskeletal or connective tissue disease,2008,positive,94,567
musculoskeletal or connective tissue disease,2009,positive,15,582
musculoskeletal or connective tissue disease,2010,positive,29,611
musculoskeletal or connective tissue disease,2011,positive,11,622
musculoskeletal or connective tissue disease,2012,positive,1,623
musculoskeletal or connective tissue disease,2013,positive,10,633
musculoskeletal or connective tissue disease,2014,positive,32,665
musculoskeletal or connective tissue disease,2015,positive,3,668
musculoskeletal or connective tissue disease,2016,positive,18,686
musculoskeletal or connective tissue disease,2017,positive,10,696
musculoskeletal or connective tissue disease,2018,positive,5,701
musculoskeletal or connective tissue disease,2019,positive,8,709
musculoskeletal or connective tissue disease,2020,positive,3,712
musculoskeletal or connective tissue disease,2021,positive,19,731
musculoskeletal or connective tissue disease,2022,positive,0,731
musculoskeletal or connective tissue disease,1990,negative,0,0
musculoskeletal or connective tissue disease,1991,negative,2,2
musculoskeletal or connective tissue disease,1992,negative,2,4
musculoskeletal or connective tissue disease,1993,negative,2,6
musculoskeletal or connective tissue disease,1994,negative,0,6
musculoskeletal or connective tissue disease,1995,negative,24,30
musculoskeletal or connective tissue disease,1996,negative,2,32
musculoskeletal or connective tissue disease,1997,negative,18,50
musculoskeletal or connective tissue disease,1998,negative,29,79
musculoskeletal or connective tissue disease,1999,negative,63,142
musculoskeletal or connective tissue disease,2000,negative,15,157
musculoskeletal or connective tissue disease,2001,negative,58,215
musculoskeletal or connective tissue disease,2002,negative,73,288
musculoskeletal or connective tissue disease,2003,negative,73,361
musculoskeletal or connective tissue disease,2004,negative,88,449
musculoskeletal or connective tissue disease,2005,negative,120,569
musculoskeletal or connective tissue disease,2006,negative,164,733
musculoskeletal or connective tissue disease,2007,negative,117,850
musculoskeletal or connective tissue disease,2008,negative,97,947
musculoskeletal or connective tissue disease,2009,negative,114,1061
musculoskeletal or connective tissue disease,2010,negative,196,1257
musculoskeletal or connective tissue disease,2011,negative,164,1421
musculoskeletal or connective tissue disease,2012,negative,327,1748
musculoskeletal or connective tissue disease,2013,negative,182,1930
musculoskeletal or connective tissue disease,2014,negative,147,2077
musculoskeletal or connective tissue disease,2015,negative,256,2333
musculoskeletal or connective tissue disease,2016,negative,95,2428
musculoskeletal or connective tissue disease,2017,negative,86,2514
musculoskeletal or connective tissue disease,2018,negative,118,2632
musculoskeletal or connective tissue disease,2019,negative,183,2815
musculoskeletal or connective tissue disease,2020,negative,117,2932
musculoskeletal or connective tissue disease,2021,negative,112,3044
musculoskeletal or connective tissue disease,2022,negative,62,3106
all,1990,positive,46,46
all,1991,positive,6,52
