source_type,relation,target_type,count,cutoff_year
disease,associated_with,reactome,566,2005
disease,clinical_trial_Unknown/Operational,target,6001,2005
disease,clinical_trial_adverse_effects,target,350,2005
disease,clinical_trial_positive,target,19021,2005
disease,clinical_trial_unmet_efficacy,target,372,2005
target,affected_pathway,disease,2404,2005
target,animal_model,disease,245395,2005
target,genetic_association,disease,8307,2005
target,has_function_in,go,64392,2005
target,interacts_with,target,18264,2005
target,involved_in,reactome,3084,2005
target,literature,disease,10258,2005
target,modulated_by,molecule,10973,2005
target,rna_expression,disease,4725,2005
target,somatic_mutation,disease,2807,2005
disease,associated_with,reactome,750,2010
disease,clinical_trial_Unknown/Operational,target,15446,2010
disease,clinical_trial_adverse_effects,target,1376,2010
disease,clinical_trial_positive,target,34290,2010
disease,clinical_trial_unmet_efficacy,target,1772,2010
target,affected_pathway,disease,3725,2010
target,animal_model,disease,330228,2010
target,genetic_association,disease,12131,2010
target,has_function_in,go,112869,2010
target,interacts_with,target,58832,2010
target,involved_in,reactome,4156,2010
target,literature,disease,25542,2010
target,modulated_by,molecule,23091,2010
target,rna_expression,disease,60514,2010
target,somatic_mutation,disease,5736,2010
disease,associated_with,reactome,856,2015
disease,clinical_trial_Unknown/Operational,target,29187,2015
disease,clinical_trial_adverse_effects,target,1768,2015
disease,clinical_trial_positive,target,48445,2015
disease,clinical_trial_unmet_efficacy,target,3421,2015
target,affected_pathway,disease,4477,2015
target,animal_model,disease,392920,2015
target,genetic_association,disease,26566,2015
target,has_function_in,go,219730,2015
target,interacts_with,target,150220,2015
target,involved_in,reactome,4744,2015
target,literature,disease,70892,2015
target,modulated_by,molecule,33878,2015
target,rna_expression,disease,139636,2015
target,somatic_mutation,disease,36165,2015
disease,associated_with,reactome,3632,2020
disease,clinical_trial_Unknown/Operational,target,44635,2020
disease,clinical_trial_adverse_effects,target,2086,2020
disease,clinical_trial_positive,target,55661,2020
disease,clinical_trial_unmet_efficacy,target,4161,2020
target,affected_pathway,disease,29639,2020
target,animal_model,disease,430688,2020
target,genetic_association,disease,57572,2020
target,has_function_in,go,252851,2020
target,interacts_with,target,344569,2020
target,involved_in,reactome,36924,2020
target,literature,disease,162957,2020
target,modulated_by,molecule,42340,2020
target,rna_expression,disease,171548,2020
target,somatic_mutation,disease,61749,2020
disease,associated_with,reactome,3639,2025
disease,clinical_trial_Unknown/Operational,target,52738,2025
disease,clinical_trial_adverse_effects,target,2115,2025
disease,clinical_trial_positive,target,56190,2025
disease,clinical_trial_unmet_efficacy,target,4240,2025
target,affected_pathway,disease,38804,2025
target,animal_model,disease,442082,2025
target,genetic_association,disease,82408,2025
target,has_function_in,go,256090,2025
target,interacts_with,target,659444,2025
target,involved_in,reactome,36972,2025
target,literature,disease,237795,2025
target,modulated_by,molecule,45416,2025
target,rna_expression,disease,171555,2025
target,somatic_mutation,disease,63557,2025
