models,therapeutic_area_name,roc_auc,average_precision,n_samples,n_positives,stratum
ots__all,all,0.4930348077407401,0.08958194337709209,18188,1478,all
ots__all,biological process,0.5477462080751976,0.3276570714610242,213,62,all
ots__all,cancer or benign tumor,0.5916076118083323,0.0456151465525826,4003,117,all
ots__all,cardiovascular disease,0.4760095164609054,0.2754041622581581,642,162,all
ots__all,disorder of visual system,0.6171954443766524,0.10209356303539538,469,22,all
ots__all,endocrine system disease,0.5459800513828018,0.032345248471238944,1044,26,all
ots__all,gastrointestinal disease,0.550739728404703,0.05612215847607689,1221,39,all
ots__all,"genetic, familial or congenital disease",0.4750676193211738,0.08875392167956514,2075,176,all
ots__all,hematologic disease,0.6091513539651837,0.08354475324472745,1074,40,all
ots__all,immune system disease,0.590516626230912,0.0938081727373096,1329,55,all
ots__all,infectious disease,0.4762125629472568,0.05648293505436362,567,28,all
ots__all,infectious disease or post-infectious disorder,0.4762125629472568,0.05648293505436362,567,28,all
ots__all,integumentary system disease,0.5501227714316217,0.045051038814956916,675,29,all
ots__all,musculoskeletal or connective tissue disease,0.5658637754368673,0.13106257799510954,836,63,all
ots__all,nervous system disease,0.5578116126435047,0.06906815434319141,1652,89,all
ots__all,nutritional or metabolic disease,0.5630393096836049,0.19446886446886447,312,14,all
ots__all,pancreas disease,0.5120772946859903,0.06507936507936507,210,3,all
ots__all,phenotype,0.5107554286879395,0.05670949865216136,611,34,all
ots__all,pregnancy or perinatal disease,0.43478260869565216,0.041666666666666664,24,1,all
ots__all,psychiatric disorder,0.42588466231630334,0.15670654946944435,370,61,all
ots__all,reproductive system or breast disease,0.4258495007941911,0.07631176145658547,982,78,all
ots__all,respiratory or thoracic disease,0.5550062774639045,0.1284198630620892,644,54,all
ots__all,urinary system disease,0.45298239087301584,0.191231373961732,716,140,all
p3_lambdarank,all,0.6308152524680756,0.12498811102538229,18188,1478,all
p3_lambdarank,biological process,0.5620593890194403,0.3063730517089393,213,62,all
p3_lambdarank,cancer or benign tumor,0.4803040500415693,0.03846322669560888,4003,117,all
p3_lambdarank,cardiovascular disease,0.6024176954732511,0.46284156598940007,642,162,all
p3_lambdarank,disorder of visual system,0.45779947122229003,0.09230540623262687,469,22,all
p3_lambdarank,endocrine system disease,0.6207118029318421,0.10945762671990687,1044,26,all
p3_lambdarank,gastrointestinal disease,0.5433641372727667,0.08142276966236897,1221,39,all
p3_lambdarank,"genetic, familial or congenital disease",0.6194079419790319,0.1202495701451258,2075,176,all
p3_lambdarank,hematologic disease,0.7138056092843326,0.1748680531054978,1074,40,all
p3_lambdarank,immune system disease,0.665149136577708,0.131552744927873,1329,55,all
p3_lambdarank,infectious disease,0.49807845216008484,0.04771119744117906,567,28,all
p3_lambdarank,infectious disease or post-infectious disorder,0.49807845216008484,0.04771119744117906,567,28,all
p3_lambdarank,integumentary system disease,0.5737696167396178,0.09712874163704018,675,29,all
p3_lambdarank,musculoskeletal or connective tissue disease,0.6300540052157129,0.15168872296746805,836,63,all
p3_lambdarank,nervous system disease,0.4986521167159093,0.09554871304051735,1652,89,all
p3_lambdarank,nutritional or metabolic disease,0.5033557046979866,0.17261287832056085,312,14,all
p3_lambdarank,pancreas disease,0.9259259259259259,0.39811912225705326,210,3,all
p3_lambdarank,phenotype,0.6227953919869508,0.09351617304160707,611,34,all
p3_lambdarank,pregnancy or perinatal disease,0.26086956521739135,0.05555555555555555,24,1,all
p3_lambdarank,psychiatric disorder,0.2011247281022866,0.11195524262956147,370,61,all
p3_lambdarank,reproductive system or breast disease,0.7858945995007941,0.2106674366238014,982,78,all
p3_lambdarank,respiratory or thoracic disease,0.5123666038920276,0.09875437684060465,644,54,all
p3_lambdarank,urinary system disease,0.4678943452380952,0.1885794467350595,716,140,all
rdg__all__positive,all,0.738209316129889,0.17920314743252078,18188,1478,all
rdg__all__positive,biological process,0.7951292458876309,0.47699265011130654,213,62,all
rdg__all__positive,cancer or benign tumor,0.7450842603956345,0.07523530043453143,4003,117,all
rdg__all__positive,cardiovascular disease,0.8135609567901234,0.4898629091260333,642,162,all
rdg__all__positive,disorder of visual system,0.5733170632499491,0.08948799859535894,469,22,all
rdg__all__positive,endocrine system disease,0.7344907057578963,0.10233045588059798,1044,26,all
rdg__all__positive,gastrointestinal disease,0.7464423619245953,0.12110413636497433,1221,39,all
rdg__all__positive,"genetic, familial or congenital disease",0.8531568648571018,0.3051957266097753,2075,176,all
rdg__all__positive,hematologic disease,0.8100096711798839,0.15232390813860006,1074,40,all
rdg__all__positive,immune system disease,0.7719352076494934,0.1578450640520448,1329,55,all
rdg__all__positive,infectious disease,0.6676384839650146,0.08092265761369044,567,28,all
rdg__all__positive,infectious disease or post-infectious disorder,0.6676384839650146,0.08092265761369044,567,28,all
rdg__all__positive,integumentary system disease,0.7355610120636277,0.0849502077711374,675,29,all
rdg__all__positive,musculoskeletal or connective tissue disease,0.5310067968541448,0.20444173988338885,836,63,all
rdg__all__positive,nervous system disease,0.7425147548290165,0.1112328415732236,1652,89,all
rdg__all__positive,nutritional or metabolic disease,0.7575503355704698,0.32514098038035805,312,14,all
rdg__all__positive,pancreas disease,0.9291465378421899,0.4095238095238095,210,3,all
rdg__all__positive,phenotype,0.7496176980324192,0.12333629694804187,611,34,all
rdg__all__positive,pregnancy or perinatal disease,0.17391304347826086,0.05,24,1,all
rdg__all__positive,psychiatric disorder,0.6144888322987956,0.19060267477638973,370,61,all
rdg__all__positive,reproductive system or breast disease,0.8913518266394372,0.3332331674042599,982,78,all
rdg__all__positive,respiratory or thoracic disease,0.5399089767733836,0.11495087344810895,644,54,all
rdg__all__positive,urinary system disease,0.907483878968254,0.6008610443773472,716,140,all
rdg__no_time__positive,all,0.6366677760960879,0.11732648646787829,18188,1478,all
rdg__no_time__positive,biological process,0.8210852381969664,0.5364625162663017,213,62,all
rdg__no_time__positive,cancer or benign tumor,0.5628752787785213,0.04185445008150148,4003,117,all
rdg__no_time__positive,cardiovascular disease,0.6133423353909465,0.32609994579257795,642,162,all
rdg__no_time__positive,disorder of visual system,0.6323469595281676,0.07754598802052635,469,22,all
rdg__no_time__positive,endocrine system disease,0.5679310865951337,0.05943709618853875,1044,26,all
rdg__no_time__positive,gastrointestinal disease,0.58406004598898,0.06304151271231329,1221,39,all
rdg__no_time__positive,"genetic, familial or congenital disease",0.6934899947340706,0.13479874893787264,2075,176,all
rdg__no_time__positive,hematologic disease,0.6126208897485494,0.08696226409768668,1074,40,all
rdg__no_time__positive,immune system disease,0.4959469102326245,0.08938484656066487,1329,55,all
rdg__no_time__positive,infectious disease,0.6119798568778161,0.06350077151744146,567,28,all
rdg__no_time__positive,infectious disease or post-infectious disorder,0.6119798568778161,0.06350077151744146,567,28,all
rdg__no_time__positive,integumentary system disease,0.4841197822141561,0.04082837661966492,675,29,all
rdg__no_time__positive,musculoskeletal or connective tissue disease,0.45916753937452515,0.13929940694016463,836,63,all
rdg__no_time__positive,nervous system disease,0.712624095121022,0.0996945466300053,1652,89,all
rdg__no_time__positive,nutritional or metabolic disease,0.6625119846596357,0.22613480044654038,312,14,all
rdg__no_time__positive,pancreas disease,0.8470209339774557,0.3663419913419913,210,3,all
rdg__no_time__positive,phenotype,0.3893618105821185,0.044904642877404956,611,34,all
rdg__no_time__positive,pregnancy or perinatal disease,0.13043478260869568,0.047619047619047616,24,1,all
rdg__no_time__positive,psychiatric disorder,0.5539020637699612,0.1732990895906246,370,61,all
rdg__no_time__positive,reproductive system or breast disease,0.6883012820512822,0.12519096449183342,982,78,all
rdg__no_time__positive,respiratory or thoracic disease,0.6335373509102322,0.13334304021672003,644,54,all
rdg__no_time__positive,urinary system disease,0.7792720734126984,0.3443284767668968,716,140,all
ots__all,all,0.6513513513513512,0.24380045066092457,424,54,pioneer
ots__all,cancer or benign tumor,0.7250836120401338,0.24580999647083587,128,13,pioneer
ots__all,cardiovascular disease,1.0,1.0,6,1,pioneer
ots__all,disorder of visual system,0.3125,0.2,10,2,pioneer
ots__all,endocrine system disease,0.775,0.35,22,2,pioneer
ots__all,gastrointestinal disease,0.9473684210526315,0.5,20,1,pioneer
ots__all,"genetic, familial or congenital disease",0.5128205128205128,0.28571962118180605,49,10,pioneer
ots__all,hematologic disease,0.5666666666666667,0.1857371794871795,32,5,pioneer
ots__all,immune system disease,0.5025000000000001,0.11860877684407095,45,5,pioneer
ots__all,integumentary system disease,0.17857142857142855,0.17647058823529413,17,3,pioneer
ots__all,musculoskeletal or connective tissue disease,0.2423076923076923,0.13458931959880727,31,5,pioneer
ots__all,nervous system disease,0.8238095238095238,0.39803921568627454,68,5,pioneer
ots__all,nutritional or metabolic disease,0.5555555555555556,0.5555555555555556,9,3,pioneer
ots__all,pancreas disease,1.0,1.0,3,1,pioneer
ots__all,phenotype,0.625,0.25,9,1,pioneer
ots__all,psychiatric disorder,1.0,1.0,9,2,pioneer
ots__all,reproductive system or breast disease,0.20833333333333331,0.07692307692307693,13,1,pioneer
ots__all,respiratory or thoracic disease,0.7916666666666666,0.7483164983164983,18,6,pioneer
ots__all,urinary system disease,0.7291666666666666,0.3833333333333333,19,3,pioneer
p3_lambdarank,all,0.6714714714714713,0.3141613000347139,424,54,pioneer
p3_lambdarank,cancer or benign tumor,0.7612040133779264,0.2868261552148293,128,13,pioneer
p3_lambdarank,cardiovascular disease,0.6,0.3333333333333333,6,1,pioneer
p3_lambdarank,disorder of visual system,0.625,0.325,10,2,pioneer
p3_lambdarank,endocrine system disease,0.675,0.5666666666666667,22,2,pioneer
p3_lambdarank,gastrointestinal disease,1.0,1.0,20,1,pioneer
p3_lambdarank,"genetic, familial or congenital disease",0.5538461538461539,0.3150818581548805,49,10,pioneer
p3_lambdarank,hematologic disease,0.6666666666666666,0.39421888053467,32,5,pioneer
p3_lambdarank,immune system disease,0.5249999999999999,0.26881673881673884,45,5,pioneer
p3_lambdarank,integumentary system disease,0.04761904761904763,0.126131221719457,17,3,pioneer
p3_lambdarank,musculoskeletal or connective tissue disease,0.5307692307692307,0.22285714285714286,31,5,pioneer
p3_lambdarank,nervous system disease,0.9142857142857143,0.5536796536796538,68,5,pioneer
p3_lambdarank,nutritional or metabolic disease,0.7777777777777779,0.7,9,3,pioneer
p3_lambdarank,pancreas disease,1.0,1.0,3,1,pioneer
p3_lambdarank,phenotype,0.75,0.3333333333333333,9,1,pioneer
p3_lambdarank,psychiatric disorder,0.8571428571428572,0.5833333333333333,9,2,pioneer
p3_lambdarank,reproductive system or breast disease,1.0,1.0,13,1,pioneer
p3_lambdarank,respiratory or thoracic disease,0.3472222222222222,0.40826575385398917,18,6,pioneer
p3_lambdarank,urinary system disease,0.75,0.7333333333333334,19,3,pioneer
rdg__all__positive,all,0.678978978978979,0.23036508302195113,424,54,pioneer
rdg__all__positive,cancer or benign tumor,0.6986622073578596,0.18348382934334456,128,13,pioneer
rdg__all__positive,cardiovascular disease,1.0,1.0,6,1,pioneer
rdg__all__positive,disorder of visual system,0.3125,0.20833333333333331,10,2,pioneer
rdg__all__positive,endocrine system disease,0.825,0.6111111111111112,22,2,pioneer
rdg__all__positive,gastrointestinal disease,1.0,1.0,20,1,pioneer
rdg__all__positive,"genetic, familial or congenital disease",0.6000000000000001,0.31733590733590733,49,10,pioneer
rdg__all__positive,hematologic disease,0.788888888888889,0.3258225108225108,32,5,pioneer
rdg__all__positive,immune system disease,0.685,0.1930973266499582,45,5,pioneer
rdg__all__positive,integumentary system disease,0.7142857142857143,0.3206349206349206,17,3,pioneer
rdg__all__positive,musculoskeletal or connective tissue disease,0.4538461538461538,0.17807250221043322,31,5,pioneer
rdg__all__positive,nervous system disease,0.7396825396825398,0.32684873949579835,68,5,pioneer
rdg__all__positive,nutritional or metabolic disease,0.6666666666666666,0.6333333333333333,9,3,pioneer
rdg__all__positive,pancreas disease,1.0,1.0,3,1,pioneer
rdg__all__positive,phenotype,0.625,0.25,9,1,pioneer
rdg__all__positive,psychiatric disorder,0.9285714285714286,0.8333333333333333,9,2,pioneer
rdg__all__positive,reproductive system or breast disease,0.25,0.1,13,1,pioneer
rdg__all__positive,respiratory or thoracic disease,0.6666666666666666,0.441967291967292,18,6,pioneer
rdg__all__positive,urinary system disease,0.5,0.2846153846153846,19,3,pioneer
rdg__no_time__positive,all,0.5098098098098098,0.18730618559292747,424,54,pioneer
rdg__no_time__positive,cancer or benign tumor,0.5682274247491639,0.14428828841513805,128,13,pioneer
rdg__no_time__positive,cardiovascular disease,1.0,1.0,6,1,pioneer
rdg__no_time__positive,disorder of visual system,0.0625,0.1625,10,2,pioneer
rdg__no_time__positive,endocrine system disease,0.725,0.5769230769230769,22,2,pioneer
rdg__no_time__positive,gastrointestinal disease,1.0,1.0,20,1,pioneer
rdg__no_time__positive,"genetic, familial or congenital disease",0.47435897435897445,0.27440290421428526,49,10,pioneer
rdg__no_time__positive,hematologic disease,0.6777777777777778,0.25372549019607843,32,5,pioneer
rdg__no_time__positive,immune system disease,0.5449999999999999,0.14539419898687633,45,5,pioneer
rdg__no_time__positive,integumentary system disease,0.2142857142857143,0.14825174825174825,17,3,pioneer
rdg__no_time__positive,musculoskeletal or connective tissue disease,0.3153846153846154,0.13963066267820087,31,5,pioneer
rdg__no_time__positive,nervous system disease,0.6031746031746033,0.2267350928641251,68,5,pioneer
rdg__no_time__positive,nutritional or metabolic disease,0.33333333333333337,0.5277777777777778,9,3,pioneer
rdg__no_time__positive,pancreas disease,1.0,1.0,3,1,pioneer
rdg__no_time__positive,phenotype,0.125,0.125,9,1,pioneer
rdg__no_time__positive,psychiatric disorder,0.5,0.375,9,2,pioneer
rdg__no_time__positive,reproductive system or breast disease,0.0,0.07692307692307693,13,1,pioneer
rdg__no_time__positive,respiratory or thoracic disease,0.3472222222222222,0.34375,18,6,pioneer
rdg__no_time__positive,urinary system disease,0.4375,0.1971153846153846,19,3,pioneer
ots__all,all,0.4917871084810106,0.08248716298842075,17342,1314,known
ots__all,biological process,0.926051051051051,0.517083712465878,157,9,known
ots__all,cancer or benign tumor,0.5701285451948582,0.03555193544928782,3874,104,known
