model_name,model_slug,limit,stratum,relative_risk
ots__all,OTS,10,all,2.5300766179758054
ots__all,OTS,10,direct_evidence,3.027314814814815
ots__all,OTS,10,known,2.4966528546609315
ots__all,OTS,10,known__direct_evidence,2.503347827386289
ots__all,OTS,10,known__literature_only,1.967352391198545
ots__all,OTS,10,literature_only,1.7747553644612468
ots__all,OTS,10,pioneer,2.6586805555555557
ots__all,OTS,10,pioneer__direct_evidence,3.6000000000000005
ots__all,OTS,10,pioneer__literature_only,0.9068181818181817
ots__all,OTS,20,all,2.0717996262940988
ots__all,OTS,20,direct_evidence,2.027128909415006
ots__all,OTS,20,known,1.9530774549106402
ots__all,OTS,20,known__direct_evidence,2.3621212121212123
ots__all,OTS,20,known__literature_only,1.439922010224208
ots__all,OTS,20,literature_only,1.396431217203276
ots__all,OTS,20,pioneer,1.6458333333333335
ots__all,OTS,20,pioneer__literature_only,0.26666666666666666
ots__all,OTS,30,all,1.90317819488552
ots__all,OTS,30,direct_evidence,2.670855379188713
ots__all,OTS,30,known,1.9305483304782574
ots__all,OTS,30,known__direct_evidence,1.8647205421146953
ots__all,OTS,30,known__literature_only,1.8044038880887514
ots__all,OTS,30,literature_only,1.4193213934319249
ots__all,OTS,30,pioneer,2.0416666666666665
ots__all,OTS,40,all,2.0460934891828537
ots__all,OTS,40,direct_evidence,2.728773301956441
ots__all,OTS,40,known,1.7202273479063288
ots__all,OTS,40,known__direct_evidence,2.3621402983321587
ots__all,OTS,40,known__literature_only,1.5069083613384737
ots__all,OTS,40,literature_only,1.4322388359398377
ots__all,OTS,40,pioneer,3.3951219512195125
ots__all,OTS,50,all,1.826223957200128
ots__all,OTS,50,direct_evidence,1.9152594268476624
ots__all,OTS,50,known,1.6359278418110519
ots__all,OTS,50,known__direct_evidence,2.8
ots__all,OTS,50,known__literature_only,1.6511930033524667
ots__all,OTS,50,literature_only,1.3468922915884625
ots__all,OTS,60,all,1.6947420616398323
ots__all,OTS,60,direct_evidence,2.708811475409836
ots__all,OTS,60,known,1.4438684403865425
ots__all,OTS,60,known__direct_evidence,3.1916666666666664
ots__all,OTS,60,known__literature_only,1.8310684546278053
ots__all,OTS,60,literature_only,1.7303411364940031
ots__all,OTS,70,all,1.66057780474372
ots__all,OTS,70,direct_evidence,3.409090909090909
ots__all,OTS,70,known,1.5573802823035356
