model_name,therapeutic_area_name,limit,relative_risk,relative_risk_low,relative_risk_high,n_exposed,n_exposed_true,stratum,model_slug
ots__all,cancer or benign tumor,10,0.0,0.0,,10.0,0.0,all,OTS
ots__all,cancer or benign tumor,20,3.4634782608695653,1.1371976691706884,10.548457835183594,20.0,2.0,all,OTS
ots__all,cancer or benign tumor,30,5.9122023809523805,2.969078742911768,11.772721446605878,30.0,5.0,all,OTS
ots__all,cancer or benign tumor,40,4.016842532467533,1.9762599556725662,8.164423857462147,44.0,5.0,all,OTS
ots__all,cancer or benign tumor,50,4.107068607068608,2.1439397568142806,7.867764236170965,52.0,6.0,all,OTS
ots__all,cancer or benign tumor,60,4.181969696969697,2.2849916790496807,7.6538005397229165,60.0,7.0,all,OTS
ots__all,cancer or benign tumor,70,3.5754545454545457,1.943262326932835,6.578563804501429,70.0,7.0,all,OTS
ots__all,cancer or benign tumor,80,3.5990825688073396,2.0289633515994048,6.384243129321113,80.0,8.0,all,OTS
ots__all,cancer or benign tumor,90,3.582417582417582,2.0806365701347054,6.16816791506445,91.0,9.0,all,OTS
ots__all,cancer or benign tumor,100,3.187091503267974,1.8455993715164971,5.503660440595311,102.0,9.0,all,OTS
ots__all,cardiovascular disease,10,2.0127388535031847,1.181805579976437,3.427905368734243,10.0,5.0,all,OTS
ots__all,cardiovascular disease,20,1.8294117647058823,1.1987723619584285,2.791812283173367,20.0,9.0,all,OTS
ots__all,cardiovascular disease,30,1.486092715231788,0.9848415618812127,2.2424638071188188,30.0,11.0,all,OTS
ots__all,cardiovascular disease,40,1.1428571428571428,0.7525508466674491,1.7355936210337755,42.0,12.0,all,OTS
ots__all,cardiovascular disease,50,0.9270588235294118,0.6023804819681242,1.426736237329176,51.0,12.0,all,OTS
ots__all,cardiovascular disease,60,0.9175675675675676,0.6136910174349013,1.3719122769157566,60.0,14.0,all,OTS
ots__all,cardiovascular disease,70,0.9743150684931506,0.6819609923023842,1.3920002220184082,73.0,18.0,all,OTS
ots__all,cardiovascular disease,80,0.9333916083916083,0.6575776301921968,1.3248928409581588,80.0,19.0,all,OTS
ots__all,cardiovascular disease,90,0.9638095238095237,0.6945494621778548,1.3374552120062948,90.0,22.0,all,OTS
ots__all,cardiovascular disease,100,0.8181454836131095,0.5899065129500038,1.1346917141314203,108.0,23.0,all,OTS
ots__all,endocrine system disease,10,0.0,0.0,,10.0,0.0,all,OTS
ots__all,endocrine system disease,20,0.0,0.0,,20.0,0.0,all,OTS
ots__all,endocrine system disease,30,1.3519999999999999,0.25977645474207,7.036449865384879,30.0,1.0,all,OTS
ots__all,endocrine system disease,40,2.091666666666667,0.6419713030103933,6.815054542046428,40.0,2.0,all,OTS
ots__all,endocrine system disease,50,2.391304347826087,0.8946328254820612,6.391825027044694,54.0,3.0,all,OTS
ots__all,endocrine system disease,60,2.139130434782609,0.7982625708410542,5.732298098596881,60.0,3.0,all,OTS
ots__all,endocrine system disease,70,2.5298701298701296,1.0592619098179359,6.042172209429459,70.0,4.0,all,OTS
ots__all,endocrine system disease,80,2.869047619047619,1.2945552559262061,6.35850358853437,80.0,5.0,all,OTS
ots__all,endocrine system disease,90,2.5238095238095237,1.136118408742065,5.606470649062213,90.0,5.0,all,OTS
ots__all,endocrine system disease,100,2.2476190476190476,1.0099060627310776,5.002238890970168,100.0,5.0,all,OTS
ots__all,gastrointestinal disease,10,6.545945945945946,2.2367371354119303,19.157105074555293,10.0,2.0,all,OTS
ots__all,gastrointestinal disease,20,5.004166666666666,2.001794270878788,12.509619191179155,20.0,3.0,all,OTS
ots__all,gastrointestinal disease,30,3.1989247311827955,1.2470336901592933,8.205968705196542,31.0,3.0,all,OTS
ots__all,gastrointestinal disease,40,3.3742857142857146,1.4759284946162894,7.714333128714834,40.0,4.0,all,OTS
ots__all,gastrointestinal disease,50,3.1176470588235294,1.4661560669415246,6.629391919829406,55.0,5.0,all,OTS
ots__all,gastrointestinal disease,60,2.8455882352941173,1.3345977800143594,6.067275493862402,60.0,5.0,all,OTS
ots__all,gastrointestinal disease,70,2.9896103896103896,1.4825757322145843,6.028542142879723,70.0,6.0,all,OTS
ots__all,gastrointestinal disease,80,2.593181818181818,1.2815909912646615,5.2470655521017635,80.0,6.0,all,OTS
ots__all,gastrointestinal disease,90,2.7489583333333334,1.4175821555271788,5.330747067419539,90.0,7.0,all,OTS
ots__all,gastrointestinal disease,100,2.8929032258064518,1.541838593521905,5.427863272487527,100.0,8.0,all,OTS
ots__all,"genetic, familial or congenital disease",10,3.5809248554913293,1.6033815641817755,7.997486753703158,10.0,3.0,all,OTS
